alpha,cvar_budget,ev_revenue,ev_deg_cost,ev_net,cvar_achieved,constrained
0.9,-3.30463,19.64985,10.354,9.294815,-3.30463,False
0.9,-2.495649,17.588913,9.314491,8.273491,-2.495649,True
0.9,-1.686669,11.887357,6.295141,5.591587,-1.686669,True
0.9,-0.877689,6.185802,3.275791,2.909684,-0.877689,True
0.9,-0.068709,0.484247,0.256441,0.227781,-0.068709,True
0.95,-6.609259,19.64985,10.354,9.294815,-6.609259,False
0.95,-5.57997,19.64985,10.354,9.294815,-5.57997,True
0.95,-4.550682,19.64985,10.354,9.294815,-4.550682,True
0.95,-3.521393,19.64985,10.354,9.294815,-3.521393,True
0.95,-2.492104,17.898446,10.354,7.543411,-2.492104,True
0.95,-1.462815,12.309161,7.689166,4.619226,-1.462815,True
0.95,-0.433526,3.647995,2.278794,1.368973,-0.433526,True
0.99,-33.046297,19.64985,10.354,9.294815,-33.046297,False
0.99,-30.254539,19.64985,10.354,9.294815,-30.254539,True
0.99,-27.462781,19.64985,10.354,9.294815,-27.462781,True
0.99,-24.671023,19.64985,10.354,9.294815,-24.671023,True
0.99,-21.879265,19.64985,10.354,9.294815,-21.879265,True
0.99,-19.087507,19.64985,10.354,9.294815,-19.087507,True
0.99,-16.295749,19.64985,10.354,9.294815,-16.295749,True
0.99,-13.50399,19.64985,10.354,9.294815,-13.50399,True
0.99,-10.712232,19.64985,10.354,9.294815,-10.712232,True
0.99,-7.920474,19.64985,10.354,9.294815,-7.920474,True
0.99,-5.128716,19.64985,10.354,9.294815,-5.128716,True
0.99,-2.336958,17.505385,10.354,7.15035,-2.336958,True
