E_MWh,P_MW,capex_$,annual_om_$,ev_net_day,ev_revenue_day,ev_deg_day,annual_arb_$,npv_$,payback_yrs,ancillary_needed_$
0.5,0.25,242000.0,2500.0,5.8022,10.8463,5.0441,2117.8,-245481.02,,26952.0
1.0,0.5,409000.0,5000.0,11.6044,21.6927,10.0883,4235.61,-415962.04,,45670.0
1.5,0.75,576000.0,7500.0,17.4066,32.539,15.1324,6353.41,-586443.06,,64388.0
2.0,1.0,743000.0,10000.0,23.2088,43.3853,20.1765,8471.21,-756924.07,,83106.0
3.0,1.5,1077000.0,15000.0,34.8132,65.078,30.2648,12706.82,-1097886.11,,120542.0
4.0,2.0,1411000.0,20000.0,46.4176,86.7707,40.3531,16942.42,-1438848.15,,157978.0
5.0,2.5,1745000.0,25000.0,58.022,108.4634,50.4414,21178.03,-1779810.19,,195414.0
6.0,3.0,2079000.0,30000.0,69.6264,130.156,60.5296,25413.63,-2120772.22,,232849.0
7.0,3.5,2413000.0,35000.0,81.2308,151.8487,70.6179,29649.24,-2461734.26,,270285.0
8.0,4.0,2747000.0,40000.0,92.8352,173.5414,80.7062,33884.85,-2802696.3,,307721.0
9.0,4.5,3081000.0,45000.0,104.4396,195.234,90.7945,38120.45,-3143658.33,,345157.0
10.0,5.0,3415000.0,50000.0,116.044,216.9267,100.8827,42356.06,-3484620.37,,382593.0
